2025-04-23 16:19:19.212 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf
2025-04-23 16:19:29.203 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf (sidebar flow)
2025-04-23 16:19:29.222 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:19:29.222 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf
2025-04-23 16:19:33.925 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf (sidebar flow)
2025-04-23 16:19:33.929 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:19:33.929 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf
2025-04-23 16:19:42.972 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf (sidebar flow)
2025-04-23 16:19:42.987 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:19:42.987 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf
2025-04-23 16:19:48.031 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf (sidebar flow)
2025-04-23 16:19:48.034 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:19:48.034 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf
2025-04-23 16:19:54.362 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf (sidebar flow)
2025-04-23 16:19:54.380 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:19:54.380 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf
2025-04-23 16:20:03.610 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf (sidebar flow)
2025-04-23 16:20:03.627 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:20:03.628 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf
2025-04-23 16:20:08.582 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf (sidebar flow)
2025-04-23 16:20:08.586 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:20:08.586 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf
2025-04-23 16:20:16.903 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf (sidebar flow)
2025-04-23 16:20:16.922 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:20:16.922 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf
2025-04-23 16:20:21.920 | INFO     | __main__:download_current_page_pdf:222 - Downloaded The_Vincennes_Sun_Commercial_1940_11_05_2.pdf (sidebar flow)
2025-04-23 16:20:21.925 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/The_Vincennes_Sun_Commercial_1940_11_05_2.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:20:21.925 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for The_Vincennes_Sun_Commercial_1940_11_05_2.pdf
2025-04-23 16:20:27.701 | INFO     | __main__:download_current_page_pdf:222 - Downloaded The_Vincennes_Sun_Commercial_1940_11_05_2 (1).pdf (sidebar flow)
2025-04-23 16:20:27.715 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/The_Vincennes_Sun_Commercial_1940_11_05_2 (1).pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:20:27.715 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for The_Vincennes_Sun_Commercial_1940_11_05_2 (1).pdf
